aarónico	 1. adj. Perteneciente o relativo a Aarón, personaje bíblico, hermano de Moisés. 
abierta	 1. f. V. abierto. abierto, ta. (Del part. irreg. de abrir; lat. apĕrtus). 1. adj. Dicho comúnmente del campo: Desembarazado, llano, raso, dilatado. 2. adj. No murado, no cercado. 3. adj. Dicho de una persona: Franca, llana, receptiva. 4. adj. Dicho de una relación o de una lista: Susceptible de cambios. 5. adj. Dicho de un asunto o de un negocio: No resuelto. El trato queda abierto 6. adj. Dicho de una caballería: Que separa excesivamente sus extremidades al andar. 7. adj. Fon. Dicho de un sonido: Que se articula con mayor grado de abertura que otro sonido que se considera cerrado. Vocal abierta 8. adj. Mar. Dicho de una embarcación: Que no tiene cubierta. 9. adj. desus. Claro, patente, indudable. 10. m. Dep. Competición deportiva en la que pueden participar todas las categorías. 11. f. Col. y Nic. abertura (‖ acción de abrir). 12. f. desus. abertura (‖ boca, hendidura). 13. adv. m. ant. abiertamente. en abierto. 1. loc. adj. Dicho de una emisión televisiva: Sin codificar. Ese canal ha estrenado un nuevo programa en abierto □ V. carga abierta carta abierta cartela abierta casa abierta circuito abierto concejo abierto crédito abierto curva abierta espejuela abierta guerra abierta hogar abierto jornada de puertas abiertas letra abierta línea abierta orden abierto puerta abierta resto abierto sílaba abierta testamento abierto vaca abierta vaina abierta viento abierto 
abiertamente	 1. adv. m. Sin reserva, francamente. 2. adv. m. Clara, patentemente. 
abierto	 1. adj. Dicho comúnmente del campo: Desembarazado, llano, raso, dilatado. 2. adj. No murado, no cercado. 3. adj. Dicho de una persona: Franca, llana, receptiva. 4. adj. Dicho de una relación o de una lista: Susceptible de cambios. 5. adj. Dicho de un asunto o de un negocio: No resuelto. El trato queda abierto 6. adj. Dicho de una caballería: Que separa excesivamente sus extremidades al andar. 7. adj. Fon. Dicho de un sonido: Que se articula con mayor grado de abertura que otro sonido que se considera cerrado. Vocal abierta 8. adj. Mar. Dicho de una embarcación: Que no tiene cubierta. 9. adj. desus. Claro, patente, indudable. 10. m. Dep. Competición deportiva en la que pueden participar todas las categorías. 11. f. Col. y Nic. abertura (‖ acción de abrir). 12. f. desus. abertura (‖ boca, hendidura). 13. adv. m. ant. abiertamente. en abierto. 1. loc. adj. Dicho de una emisión televisiva: Sin codificar. Ese canal ha estrenado un nuevo programa en abierto □ V. carga abierta carta abierta cartela abierta casa abierta circuito abierto concejo abierto crédito abierto curva abierta espejuela abierta guerra abierta hogar abierto jornada de puertas abiertas letra abierta línea abierta orden abierto puerta abierta resto abierto sílaba abierta testamento abierto vaca abierta vaina abierta viento abierto 
abietáceo	 1. adj. Bot. Se dice de los árboles gimnospermos bastante ramificados, con hojas persistentes de limbo muy estrecho y aun acicular, flores unisexuales monoicas, las masculinas reunidas en amentos y las femeninas en estróbilos. Las semillas, que nunca son carnosas, están cubiertas por escamas muy apretadas; p. ej., el pino, el abeto, el alerce y el cedro. U. t. c. s. f. 2. f. pl. Bot. Familia de estas plantas. ORTOGR. Escr. con may. inicial. 
abiete	 1. m. desus. abeto. 
abietíneo	 1. adj. Bot. abietáceo. U. t. c. s. f. ORTOGR. Escr. con may. inicial c. taxón. 
abietino	 1. adj. Se dice de la resina del abeto. 2. m. abetinote. 
abigarrado	 1. adj. De varios colores, mal combinados. 2. adj. Heterogéneo, reunido sin concierto. Un extraño y abigarrado libro. Una multitud abigarrada. 
abigarramiento	 1. m. Acción y efecto de abigarrar. 2. m. Cualidad de abigarrado. 
abigarrar	 1. tr. Dar o poner a algo varios colores mal combinados. 2. prnl. Dicho de cosas varias y heterogéneas: Amontonarse, apretujarse. 
abigeato	 1. m. Am. Hurto de ganado. 
abigeo	 1. m. Am. Ladrón de ganado. 
abigotado	 1. adj. bigotudo. 
abintestato	 1. m. Der. Procedimiento judicial sobre herencia y adjudicación de bienes de quien muere sin testar. 
abipón	 1. adj. Se dice del individuo de un pueblo amerindio que habitaba cerca del Paraná. U. t. c. s. 2. adj. Perteneciente o relativo a los abipones. 3. m. Lengua de la familia guaicurú hablada por los abipones. 
abisagrar	 1. tr. Clavar o fijar bisagras en las puertas y sus marcos, o en otros objetos. 
abisal	 1. adj. abismal (‖ perteneciente al abismo). 2. adj. Se dice de las zonas del mar profundo que se extienden más allá del talud continental, y corresponden a profundidades mayores de 2000 m. 3. adj. Perteneciente o relativo a tales zonas. 
abiselar	 1. tr. biselar. 
abisinio	 1. adj. Natural de Abisinia, hoy Etiopía. U. t. c. s. 2. adj. Perteneciente o relativo a este país de África. 3. m. Lengua abisinia. □ V. rito abisinio 
abismado	 1. adj. Dicho de una persona, de su expresión, de su gesto, etc.: Ensimismados, reconcentrados. 2. adj. Heráld. Dicho de una pieza del escudo: Puesta en el abismo. 
abismal	 1. m. Cada uno de los clavos con que se fijaba en el asta el hierro de la lanza. abismal2. 1. adj. Perteneciente o relativo al abismo. 2. adj. Muy profundo, insondable, incomprensible. 
abismar	 1. tr. Hundir en un abismo. U. t. c. prnl. 2. tr. Confundir, abatir. U. t. c. prnl. 3. prnl. Entregarse del todo a la contemplación, al dolor, etc. 4. prnl. Am. sorprenderse (‖ conmoverse con algo imprevisto o raro). 
abismático	 1. adj. abismal2. 
abismo	 1. m. Profundidad grande, imponente y peligrosa, como la de los mares, la de un tajo, la de una sima, etc. U. t. en sent. fig. Se sumió en el abismo de la desesperación. 2. m. infierno (‖ lugar de castigo eterno). 3. m. Cosa inmensa, insondable o incomprensible. 4. m. Diferencia grande entre cosas, personas, ideas, sentimientos, etc. 5. m. Heráld. Punto o parte central del escudo. 6. m. Nic. Maldad, perdición, ruina moral. 
abiso	 1. m. desus. abismo. 
abita	 1. f. desus. bita. 
abitadura	 1. f. Mar. Acción de abitar. 
abitaque	 1. m. cuartón (‖ madero que resulta de aserrar una pieza en cruz). 
abitar	 1. tr. Mar. Amarrar un cabo rodeando las bitas. 
abitón	 1. m. Mar. Madero que se coloca verticalmente en un buque y sirve para amarrar o sujetar algún cabo. 
abizcochado	 1. adj. Parecido al bizcocho (‖ pan). 2. adj. Parecido al bizcocho (‖ masa). 
abjuración	 1. f. Acción y efecto de abjurar. 
abjurar	 1. tr. Retractarse, renegar, a veces públicamente, de una creencia o compromiso que antes se ha profesado o asumido. U. t. c. intr. Abjurar DE su religión. 
ablación	 1. f. Acción y efecto de cortar, separar, quitar. 2. f. Der. Sacrificio o menoscabo de un derecho. 3. f. Med. Separación o extirpación de cualquier parte del cuerpo. ~ continental. 1. f. Geogr. Arrastre de materiales de la corteza terrestre efectuado por los ríos, los vientos, las olas, etc. ~ glaciar. 1. f. Geogr. Pérdida de hielo en el final de un glaciar. 
ablandabrevas	 1. com. coloq. Persona inútil o pusilánime. 
ablandador	 1. adj. Que ablanda. 
ablandahígos	 1. com. coloq. ablandabrevas. 
ablandamiento	 1. m. Acción y efecto de ablandar o ablandarse. 
ablandar	 1. tr. Poner blando algo. U. t. c. prnl. 2. tr. Laxar, suavizar. U. t. c. prnl. 3. tr. Hacer que alguien ceda en una postura intransigente o severa, mitigar su ira o enojo. U. t. c. prnl. 4. tr. Arg. y Ur. rodar (‖ hacer que un automóvil marche a las velocidades prescritas para su rodaje). 5. intr. Dicho del invierno: Calmar sus rigores, empezando a derretirse los hielos y las nieves. 6. intr. Dicho del viento: Ceder en su fuerza. U. t. c. prnl. 7. prnl. acobardarse. 
ablandativo	 1. adj. Que tiene virtud de ablandar. 
ablandecer	 1. tr. desus. ablandar. 
ablanedo	 1. m. coloq. Ast. avellanar1. 
ablano	 1. m. coloq. Ast. avellano. 
ablativo	 1. m. Gram. Caso de la declinación latina y de otras lenguas indoeuropeas, cuya función principal es expresar la procedencia local o temporal, y en latín también las relaciones de situación, tiempo, modo, instrumento, materia, etc., que en español suelen expresarse anteponiendo al nombre alguna preposición, entre las cuales son las más frecuentes bajo, con, de, desde, en, por y sin. ~ absoluto. 1. m. Gram. Clase de construcción absoluta propia del latín, caracterizada porque sus dos elementos constitutivos figuran en ablativo. Establece alguna circunstancia con respecto a la oración a la que suele preceder con autonomía fónica. ablativo2, va. 1. adj. Perteneciente o relativo a la ablación. 
ablegado	 1. m. Enviado apostólico encargado de entregar el birrete a los nuevos cardenales. 
ablentador	 1. m. desus. bieldo. 
ablentar	 1. tr. beldar. 2. tr. aventar (‖ echar al viento). ¶ MORF. conjug. c. acertar. 
ablución	 1. f. lavatorio (‖ acción de lavar). 2. f. Acción de purificarse por medio del agua, según ritos de algunas religiones, como la judaica, la mahometana, etc. 3. f. Ceremonia de purificar el cáliz y de lavarse los dedos el sacerdote después de consumir. 4. f. pl. Vino y agua con que se hace esta purificación y lavatorio. Sumir las abluciones. 
ablusado	 1. adj. Dicho de un corpiño: Holgado a manera de blusa. 
abnegación	 1. f. Sacrificio que alguien hace de su voluntad, de sus afectos o de sus intereses, generalmente por motivos religiosos o por altruismo. 
abnegado	 1. adj. Que tiene abnegación. 
abnegar	 1. tr. p. us. Renunciar voluntariamente a los propios deseos, pasiones o intereses. U. m. c. prnl. MORF. conjug. c. acertar. 
abobado	 1. adj. Que parece bobo. 2. adj. Propio de un bobo. 
abobamiento	 1. m. Acción y efecto de abobar. 
abobar	 1. tr. Hacer bobo a alguien, entorpecerle el uso de las potencias. U. t. c. prnl. 2. tr. embobar. U. t. c. prnl. 
abobra	 1. f. Planta vivaz de la familia de las Cucurbitáceas, que se cultiva como enredadera de adorno. 
abocadear	 1. tr. desus. Herir o maltratar a bocados. 2. tr. desus. Tomar bocados. 
abocado	 1. adj. Dicho del vino, especialmente de una clase de jerez: Que contiene mezcla de vino seco y dulce. U. t. c. s. m. 
abocamiento	 1. m. Acción y efecto de abocar o abocarse. 
abocanar	 1. intr. impers. rur. Ast. escampar (‖ cesar de llover). 
abocar	 1. tr. Verter el contenido de un cántaro, costal, etc., en otro. U. propiamente cuando para ello se aproximan las bocas de ambos. 2. tr. Acercar, dirigir hacia un lugar armas de fuego, tropas, pertrechos, etc. U. t. c. prnl. 3. tr. desus. Asir con la boca. 4. intr. Desembocar, ir a parar. 5. intr. Mar. Comenzar a entrar en un canal, estrecho, puerto, etc. 6. prnl. Dicho de una o más personas: Juntarse de concierto con otra u otras para tratar un negocio. 7. prnl. Existiendo proximidad en el tiempo, hallarse en disposición, peligro o esperanza de algo. Estar, hallarse, quedar, verse abocado A la ruptura. U. t. c. intr. 8. prnl. Bol., C. Rica, Guat., Ur. y Ven. Entregarse de lleno a hacer algo, o dedicarse a la consideración o estudio de un asunto. La Administración se abocará A resolver los problemas de los niños. 
abocardado	 1. adj. Dicho especialmente de algunas armas de fuego: De forma semejante a la de la bocina. 
abocardar	 1. tr. Ensanchar la boca de un tubo o de un agujero. 
abocardo	 1. m. alegra. 
abocelado	 1. adj. Que tiene forma de bocel. 
abocetado	 1. adj. Dicho de una pintura: Que, por estar poco concluida, más parece boceto que obra terminada. 
abocetar	 1. tr. Ejecutar bocetos o dar el carácter de tales a las obras artísticas. 2. tr. Insinuar, apuntar vagamente algo. 
abochornado	 1. adj. desus. bochornoso. 
abochornar	 1. tr. Dicho del excesivo calor: Causar bochorno. U. t. c. prnl. 2. tr. sonrojar. U. t. c. prnl. 3. prnl. Dicho de una planta: Enfermar por el excesivo calor o calma. 
abocinado	 1. adj. De forma semejante a la de la bocina. □ V. arco abocinado 
abocinamiento	 1. m. Acción y efecto de abocinar1. 
abocinar	 1. tr. Ensanchar un tubo o cañón hacia su boca, a modo de bocina. abocinar2. (De or. inc.; cf. ant. abuçado, boca abajo). 1. intr. coloq. Caer de bruces. U. m. c. prnl. 2. prnl. Equit. Dicho de una caballería: Inclinarse hacia delante sobre el cuarto delantero. 
abofeteador	 1. adj. Que abofetea. U. t. c. s. 
abofetear	 1. tr. Dar de bofetadas. 2. tr. Ultrajar, escarnecer. 
abogacía	 1. f. Profesión y ejercicio del abogado. 2. f. Cuerpo de abogados. 
abogadesco	 1. adj. Perteneciente o relativo al abogado o a su profesión. U. m. en sent. despect. 
abogadil	 1. adj. despect. Perteneciente o relativo a los abogados. U. en Costa Rica como no despectivo. 
abogadismo	 1. m. Intervención excesiva de los abogados en los negocios públicos. 2. m. Aplicación inadecuada de sus métodos a cuestiones extrañas a la abogacía. 
abogado	 1. m. y f. Licenciado o doctor en derecho que ejerce profesionalmente la dirección y defensa de las partes en toda clase de procesos o el asesoramiento y consejo jurídico. MORF. U. t. la forma en m. para designar el f. 2. m. y f. Intercesor o mediador. 3. m. y f. Nic. Persona habladora, enredadora, parlanchina. abogado del diablo. 1. m. Contradictor de buenas causas. 2. m. coloq. promotor de la fe. ~ del Estado. 1. m. y f. Funcionario a quien se encomienda el asesoramiento, representación y defensa en juicios del Estado y sus organismos. ~ de oficio. 1. m. y f. Jurista asignado por el juez a una parte, ordinariamente por su falta de recursos económicos. abogado de pobres. 1. m. coloq. desus. abogado de oficio. abogado de secano. 1. m. coloq. p. us. Jurista que no ejerce ni sirve para ello. 2. m. coloq. p. us. El que sin haber cursado la jurisprudencia entiende de leyes o presume de ello. U. en son de burla. 3. m. coloq. p. us. El que se mete a hablar de materias en que es lego. 4. m. coloq. p. us. Rústico avisado y diestro en el manejo de negocios superiores a su educación. abogado fiscal. 1. m. Grado inferior de la carrera fiscal. ~ general. 1. m. y f. En los órganos judiciales de la Unión Europea, jurista que estudia la causa una vez concluida y propone al tribunal una resolución determinada. □ V. barra de abogados 
abogador	 1. adj. ant. Que aboga. 2. m. muñidor (‖ criado de cofradía). 
abogamiento	 1. m. ant. Acción y efecto de abogar. 
abogar	 1. intr. Defender en juicio, por escrito o de palabra. 2. intr. Interceder, hablar en favor de alguien. 
abohetado	 1. adj. abuhado. 
abolaga	 1. f. aulaga. 
abolengo	 1. m. Ascendencia de abuelos o antepasados. 2. m. Ascendencia ilustre. 3. m. Lugar de donde se es oriundo; nacionalidad, filiación étnica o biológica. □ V. bienes de abolengo 
abolición	 1. f. Acción y efecto de abolir. 
abolicionismo	 1. m. Doctrina de los abolicionistas. 
abolicionista	 1. adj. Dicho de una persona: Que procura dejar sin efecto o suprimir una ley, costumbre, etc. Se aplicó principalmente a los partidarios de la abolición de la esclavitud. U. t. c. s. 
abolir	 1. tr. defect. Derogar, dejar sin vigencia una ley, precepto, costumbre, etc. MORF. U. solo las formas cuya desinencia empieza por -i. 
abollado	 1. adj. coloq. Cuba. Dicho de una persona: Que se halla en mala situación económica. abollado2. 1. m. desus. Adorno de bollos en los metales y vestidos. 
abolladura	 1. f. Acción y efecto de abollar1. 
abollar	 1. tr. Producir una depresión en una superficie con un golpe o apretándola. U. t. c. prnl. 2. tr. Burg. hollar. abollar2. (De bollo1). 1. tr. Adornar con bollos o relieves semiesféricos metales o telas. 
abollón	 1. m. abolladura. 
abollonar	 1. tr. Repujar formando bollones. 2. intr. Ar. Dicho de una planta: Echar el bollón. 
abolorio	 1. m. abolengo. 
abolsarse	 1. prnl. Tomar forma de bolsa. 2. prnl. Constr. Dicho de una pared: afollarse. 
abomaso	 1. m. Zool. cuajar1. 
abombar	 1. tr. Aturdir, atolondrar, asordar. U. t. c. prnl. 2. prnl. Dicho de un líquido o de la carne: Empezar a corromperse. 3. prnl. And. y Nic. achisparse. 4. prnl. Arg. Aturdirse a causa de la bebida, la comida, el calor o el cansancio. abombar2. (De bomba). 1. tr. Dar forma convexa. 2. intr. Dar a la bomba. 3. prnl. Dicho de una cosa: Tomar forma convexa. 
abominable	 1. adj. Digno de ser abominado. 2. adj. Que desagrada profundamente. 
abominación	 1. f. Acción y efecto de abominar. 2. f. Cosa abominable. 
abominar	 1. tr. Condenar y maldecir a alguien o algo por considerarlo malo o perjudicial. U. t. c. intr. Abominar DE la codicia. 2. tr. aborrecer (‖ tener aversión). 
